ID                                        0xee7
Delivery_person_ID                HYDRES06DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   17.455894
Restaurant_longitude                  78.375467
Delivery_location_latitude            17.585894
Delivery_location_longitude           78.505467
Order_Date                           04-03-2022
Time_Orderd                               22:30
Time_Order_picked                         22:45
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 20332, dtype: object
