ID                                     0xd77d
Delivery_person_ID             AURGRES02DEL01
Delivery_person_Age                     31.00
Delivery_person_Ratings                  4.80
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.01
Delivery_location_longitude              0.01
Order_Date                         13-02-2022
Time_Orderd                             10:45
Time_Order_picked                       10:55
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                                      NaN
Time_taken (min)                        28.00
Name: 16883, dtype: object
