ID                                       0x5df7
Delivery_person_ID                JAPRES11DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.902940
Restaurant_longitude                  75.793007
Delivery_location_latitude            26.932940
Delivery_location_longitude           75.823007
Order_Date                           30-03-2022
Time_Orderd                               22:20
Time_Order_picked                         22:30
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      26.000000
Name: 27148, dtype: object
