ID                                       0xaccc
Delivery_person_ID             RANCHIRES07DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.429407
Delivery_location_longitude           85.395055
Order_Date                           25-03-2022
Time_Orderd                               19:20
Time_Order_picked                         19:35
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 30997, dtype: object
