ID                                    0x3c37
Delivery_person_ID             MYSRES12DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                12.284747
Restaurant_longitude               76.625861
Delivery_location_latitude         12.414747
Delivery_location_longitude        76.755861
Order_Date                        06-03-2022
Time_Orderd                            18:45
Time_Order_picked                      18:60
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   27.000000
Name: 19252, dtype: object
