ID                                    0xbf24
Delivery_person_ID             BHPRES16DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                23.264015
Restaurant_longitude               77.408236
Delivery_location_latitude         23.344015
Delivery_location_longitude        77.488236
Order_Date                        14-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:50
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   38.000000
Name: 1634, dtype: object
