ID                                    0x73ce
Delivery_person_ID             MUMRES01DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                19.126630
Restaurant_longitude               72.829976
Delivery_location_latitude         19.196630
Delivery_location_longitude        72.899976
Order_Date                        25-03-2022
Time_Orderd                            22:25
Time_Order_picked                      22:30
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 30328, dtype: object
