ID                                      0xbe68
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.086117
Delivery_location_longitude          77.004652
Order_Date                          01-04-2022
Time_Orderd                              18:35
Time_Order_picked                        18:40
Weather conditions                       Sunny
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     22.000000
Name: 2287, dtype: object
