ID                                       0xa5d1
Delivery_person_ID             RANCHIRES07DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.439407
Delivery_location_longitude           85.405055
Order_Date                           06-03-2022
Time_Orderd                               17:40
Time_Order_picked                         17:55
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 38966, dtype: object
