ID                                        0x7db
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       20.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           30-03-2022
Time_Orderd                                9:50
Time_Order_picked                         10:05
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          19.00
Name: 17637, dtype: object
