ID                                    0xc196
Delivery_person_ID             AGRRES12DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                27.165108
Restaurant_longitude               78.015053
Delivery_location_latitude         27.205108
Delivery_location_longitude        78.055053
Order_Date                        17-02-2022
Time_Orderd                            16:25
Time_Order_picked                      16:40
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 6892, dtype: object
