ID                                       0x8b1c
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           07-03-2022
Time_Orderd                               19:15
Time_Order_picked                         19:20
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        0.00
Festival                                    NaN
City                              Metropolitian
Time_taken (min)                          13.00
Name: 19966, dtype: object
