ID                                       0x1b4c
Delivery_person_ID                JAPRES05DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.905287
Restaurant_longitude                  75.794592
Delivery_location_latitude            27.015287
Delivery_location_longitude           75.904592
Order_Date                           25-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:20
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 32490, dtype: object
