ID                                    0x7aed
Delivery_person_ID             JAPRES13DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                26.846156
Restaurant_longitude               75.802300
Delivery_location_latitude         26.856156
Delivery_location_longitude        75.812300
Order_Date                        03-04-2022
Time_Orderd                            11:40
Time_Order_picked                      11:55
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   39.000000
Name: 24534, dtype: object
