ID                                       0xce0b
Delivery_person_ID               AURGRES04DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   19.876106
Restaurant_longitude                  75.340775
Delivery_location_latitude            19.946106
Delivery_location_longitude           75.410775
Order_Date                           16-02-2022
Time_Orderd                               20:50
Time_Order_picked                         20:60
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 37073, dtype: object
