ID                                     0x6eea
Delivery_person_ID             JAPRES010DEL01
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 26.921411
Restaurant_longitude                75.793604
Delivery_location_latitude          26.961411
Delivery_location_longitude         75.833604
Order_Date                         13-03-2022
Time_Orderd                             16:50
Time_Order_picked                       16:60
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 26077, dtype: object
