ID                                       0x951c
Delivery_person_ID                HYDRES01DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   17.410371
Restaurant_longitude                  78.437225
Delivery_location_latitude            17.540371
Delivery_location_longitude           78.567225
Order_Date                           06-04-2022
Time_Orderd                               20:15
Time_Order_picked                         20:25
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      47.000000
Name: 11936, dtype: object
