ID                                       0x6f5a
Delivery_person_ID              COIMBRES17DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   11.026117
Restaurant_longitude                  76.944652
Delivery_location_latitude            11.046117
Delivery_location_longitude           76.964652
Order_Date                           24-03-2022
Time_Orderd                                8:40
Time_Order_picked                          8:45
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      27.000000
Name: 19729, dtype: object
