ID                                      0xbd19
Delivery_person_ID             COIMBRES17DEL01
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.036117
Delivery_location_longitude          76.954652
Order_Date                          19-03-2022
Time_Orderd                               8:20
Time_Order_picked                         8:35
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     22.000000
Name: 33987, dtype: object
