ID                                     0x65cb
Delivery_person_ID             PUNERES11DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.533811
Restaurant_longitude                73.899315
Delivery_location_latitude          18.573811
Delivery_location_longitude         73.939315
Order_Date                         13-03-2022
Time_Orderd                             16:40
Time_Order_picked                       16:45
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 25016, dtype: object
