ID                                       0xd4ca
Delivery_person_ID               AURGRES09DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.874103
Restaurant_longitude                  75.368419
Delivery_location_latitude            19.914103
Delivery_location_longitude           75.408419
Order_Date                           15-02-2022
Time_Orderd                               16:40
Time_Order_picked                         16:55
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 6010, dtype: object
