ID                                    0xb7e8
Delivery_person_ID             JAPRES19DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.913726
Restaurant_longitude               75.752820
Delivery_location_latitude         26.983726
Delivery_location_longitude        75.822820
Order_Date                        04-04-2022
Time_Orderd                            19:30
Time_Order_picked                      19:35
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 34653, dtype: object
