ID                                      0xacbf
Delivery_person_ID             COIMBRES15DEL03
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.066686
Delivery_location_longitude          77.011736
Order_Date                          21-03-2022
Time_Orderd                              18:35
Time_Order_picked                        18:40
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     29.000000
Name: 3155, dtype: object
