ID                                       0x8f2b
Delivery_person_ID                SURRES14DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   21.157729
Restaurant_longitude                  72.768726
Delivery_location_latitude            21.237729
Delivery_location_longitude           72.848726
Order_Date                           04-03-2022
Time_Orderd                               17:35
Time_Order_picked                         17:40
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      33.000000
Name: 37169, dtype: object
