ID                                    0x399b
Delivery_person_ID             HYDRES11DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.430448
Restaurant_longitude               78.418213
Delivery_location_latitude         17.470448
Delivery_location_longitude        78.458213
Order_Date                        03-03-2022
Time_Orderd                            15:10
Time_Order_picked                      15:15
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 7134, dtype: object
