ID                                       0x1bb1
Delivery_person_ID             RANCHIRES03DEL01
Delivery_person_Age                       29.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           15-03-2022
Time_Orderd                               12:40
Time_Order_picked                         12:55
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          19.00
Name: 38507, dtype: object
