ID                                     0xdfa2
Delivery_person_ID             AURGRES20DEL02
Delivery_person_Age                     22.00
Delivery_person_Ratings                  4.40
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.02
Delivery_location_longitude              0.02
Order_Date                         11-02-2022
Time_Orderd                              8:40
Time_Order_picked                        8:45
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        19.00
Name: 45303, dtype: object
