ID                                     0x91bf
Delivery_person_ID             CHENRES13DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.027018
Restaurant_longitude                80.254791
Delivery_location_latitude          13.107018
Delivery_location_longitude         80.334791
Order_Date                         02-04-2022
Time_Orderd                             22:45
Time_Order_picked                       22:60
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 1829, dtype: object
