ID                                       0xbef6
Delivery_person_ID                DEHRES06DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -30.361281
Restaurant_longitude                 -78.068022
Delivery_location_latitude            30.381281
Delivery_location_longitude           78.088022
Order_Date                           13-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:60
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 31156, dtype: object
