ID                                    0xe08e
Delivery_person_ID             KOLRES01DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                22.514688
Restaurant_longitude               88.393294
Delivery_location_latitude         22.554688
Delivery_location_longitude        88.433294
Order_Date                        15-02-2022
Time_Orderd                            16:45
Time_Order_picked                      16:55
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 19867, dtype: object
