ID                                    0xd69a
Delivery_person_ID             KOCRES12DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                 9.988483
Restaurant_longitude               76.295211
Delivery_location_latitude         10.008483
Delivery_location_longitude        76.315211
Order_Date                        13-02-2022
Time_Orderd                            10:25
Time_Order_picked                      10:40
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 17494, dtype: object
