ID                                        0x725f
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    21.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.444422
Delivery_location_longitude            85.422900
Order_Date                            29-03-2022
Time_Orderd                                19:15
Time_Order_picked                          19:25
Weather conditions                    Sandstorms
Road_traffic_density                         Jam
Vehicle_condition                              2
Type_of_order                               Meal
Type_of_vehicle                 electric_scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       21.000000
Name: 7765, dtype: object
