ID                                     0xc3c1
Delivery_person_ID             AURGRES11DEL02
Delivery_person_Age                     38.00
Delivery_person_Ratings                  4.30
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.08
Delivery_location_longitude              0.08
Order_Date                         12-02-2022
Time_Orderd                             17:55
Time_Order_picked                       18:05
Weather conditions                 Sandstorms
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        45.00
Name: 37011, dtype: object
