ID                                       0x150d
Delivery_person_ID             RANCHIRES08DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.353783
Restaurant_longitude                  85.326967
Delivery_location_latitude            23.463783
Delivery_location_longitude           85.436967
Order_Date                           18-03-2022
Time_Orderd                               23:35
Time_Order_picked                         23:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 27970, dtype: object
