ID                                    0xcf0b
Delivery_person_ID             KOCRES02DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             3.900000
Restaurant_latitude                10.028047
Restaurant_longitude               76.310019
Delivery_location_latitude         10.098047
Delivery_location_longitude        76.380019
Order_Date                        14-02-2022
Time_Orderd                            21:50
Time_Order_picked                      22:05
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   36.000000
Name: 18327, dtype: object
