ID                                     0xe0e6
Delivery_person_ID             LUDHRES01DEL02
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.873988
Restaurant_longitude                75.842739
Delivery_location_latitude          31.003988
Delivery_location_longitude         75.972739
Order_Date                         12-02-2022
Time_Orderd                             20:50
Time_Order_picked                       20:60
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    35.000000
Name: 32426, dtype: object
