ID                                       0x5ea5
Delivery_person_ID                MUMRES14DEL03
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   19.181300
Restaurant_longitude                  72.836191
Delivery_location_latitude            19.271300
Delivery_location_longitude           72.926191
Order_Date                           23-03-2022
Time_Orderd                               21:55
Time_Order_picked                         22:10
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 21756, dtype: object
