ID                                       0x4ed0
Delivery_person_ID               INDORES11DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   22.751234
Restaurant_longitude                  75.889490
Delivery_location_latitude            22.841234
Delivery_location_longitude           75.979490
Order_Date                           25-03-2022
Time_Orderd                               21:35
Time_Order_picked                         21:45
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 8235, dtype: object
