ID                                       0x7da8
Delivery_person_ID             RANCHIRES18DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.351489
Restaurant_longitude                  85.324253
Delivery_location_latitude            23.391489
Delivery_location_longitude           85.364253
Order_Date                           19-03-2022
Time_Orderd                               13:45
Time_Order_picked                         13:55
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      30.000000
Name: 13499, dtype: object
