ID                                       0xdfe8
Delivery_person_ID               LUDHRES09DEL03
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   30.885814
Restaurant_longitude                  75.786976
Delivery_location_latitude            30.975814
Delivery_location_longitude           75.876976
Order_Date                           18-02-2022
Time_Orderd                               23:40
Time_Order_picked                         23:50
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      26.000000
Name: 17569, dtype: object
