ID                                       0xb1e4
Delivery_person_ID               BANGRES06DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.979096
Restaurant_longitude                  77.640625
Delivery_location_latitude            13.019096
Delivery_location_longitude           77.680625
Order_Date                           26-03-2022
Time_Orderd                               16:40
Time_Order_picked                         16:55
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 4666, dtype: object
