ID                                     0xc0c5
Delivery_person_ID             ALHRES010DEL02
Delivery_person_Age                     24.00
Delivery_person_Ratings                  4.10
Restaurant_latitude                     -0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.02
Delivery_location_longitude              0.02
Order_Date                         11-02-2022
Time_Orderd                              8:55
Time_Order_picked                        9:05
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        15.00
Name: 35555, dtype: object
