ID                                        0x74e
Delivery_person_ID                MUMRES17DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   19.121999
Restaurant_longitude                  72.908493
Delivery_location_latitude            19.161999
Delivery_location_longitude           72.948493
Order_Date                           09-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         16:10
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 39579, dtype: object
