ID                                     0x230d
Delivery_person_ID             BANGRES18DEL03
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.913041
Restaurant_longitude                77.683237
Delivery_location_latitude          13.003041
Delivery_location_longitude         77.773237
Order_Date                         23-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:25
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                               Semi-Urban
Time_taken (min)                    45.000000
Name: 44172, dtype: object
