ID                                      0x7bd
Delivery_person_ID             CHENRES03DEL03
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 13.091809
Restaurant_longitude                80.219104
Delivery_location_latitude          13.181809
Delivery_location_longitude         80.309104
Order_Date                         31-03-2022
Time_Orderd                             21:25
Time_Order_picked                       21:40
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    42.000000
Name: 29795, dtype: object
