ID                                      0xb175
Delivery_person_ID             COIMBRES12DEL02
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.020762
Delivery_location_longitude          77.001876
Order_Date                          01-03-2022
Time_Orderd                              11:15
Time_Order_picked                        11:25
Weather conditions                      Cloudy
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 28976, dtype: object
