ID                                    0xd5fa
Delivery_person_ID             DEHRES03DEL03
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                30.335259
Restaurant_longitude               78.053162
Delivery_location_latitude         30.425259
Delivery_location_longitude        78.143162
Order_Date                        18-02-2022
Time_Orderd                            20:25
Time_Order_picked                      20:35
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 4464, dtype: object
