ID                                    0xc03c
Delivery_person_ID             GOARES06DEL03
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -15.561550
Restaurant_longitude               73.749092
Delivery_location_latitude         15.651550
Delivery_location_longitude        73.839092
Order_Date                        18-02-2022
Time_Orderd                            20:60
Time_Order_picked                      21:10
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 44659, dtype: object
