ID                                       0xd82d
Delivery_person_ID                AGRRES01DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   27.161661
Restaurant_longitude                  78.011544
Delivery_location_latitude            27.271661
Delivery_location_longitude           78.121544
Order_Date                           12-02-2022
Time_Orderd                               21:50
Time_Order_picked                         22:05
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 18189, dtype: object
