ID                                     0xa3ac
Delivery_person_ID             INDORES18DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 22.753839
Restaurant_longitude                75.897429
Delivery_location_latitude          22.763838
Delivery_location_longitude         75.907429
Order_Date                         07-03-2022
Time_Orderd                              8:25
Time_Order_picked                        8:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 12336, dtype: object
