ID                                     0x3be7
Delivery_person_ID             PUNERES07DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 18.546947
Restaurant_longitude                73.900626
Delivery_location_latitude          18.626947
Delivery_location_longitude         73.980626
Order_Date                         08-03-2022
Time_Orderd                             18:50
Time_Order_picked                       18:60
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 4712, dtype: object
