ID                                     0xd5c6
Delivery_person_ID             AURGRES12DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.879631
Restaurant_longitude                75.323403
Delivery_location_latitude          20.009631
Delivery_location_longitude         75.453403
Order_Date                         18-02-2022
Time_Orderd                             22:10
Time_Order_picked                       22:25
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 4299, dtype: object
