ID                                        0x46d
Delivery_person_ID               BANGRES05DEL01
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                  -12.970324
Restaurant_longitude                 -77.645748
Delivery_location_latitude            13.010324
Delivery_location_longitude           77.685748
Order_Date                           13-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         12:30
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 13224, dtype: object
