ID                                    0xc01a
Delivery_person_ID             DEHRES13DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -30.366322
Restaurant_longitude              -78.070453
Delivery_location_latitude         30.386322
Delivery_location_longitude        78.090453
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                       9:10
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 16842, dtype: object
