ID                                       0xbc4d
Delivery_person_ID                VADRES01DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.307898
Restaurant_longitude                  73.167788
Delivery_location_latitude            22.437898
Delivery_location_longitude           73.297788
Order_Date                           25-03-2022
Time_Orderd                               18:10
Time_Order_picked                         18:15
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      30.000000
Name: 30236, dtype: object
