ID                                      0x7bad
Delivery_person_ID             COIMBRES14DEL03
Delivery_person_Age                  33.000000
Delivery_person_Ratings               3.600000
Restaurant_latitude                  11.003681
Restaurant_longitude                 76.975525
Delivery_location_latitude           11.093681
Delivery_location_longitude          77.065525
Order_Date                          04-04-2022
Time_Orderd                              18:40
Time_Order_picked                        18:50
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     34.000000
Name: 1868, dtype: object
