ID                                        0x40d
Delivery_person_ID              COIMBRES05DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   11.022169
Restaurant_longitude                  76.999594
Delivery_location_latitude            11.132169
Delivery_location_longitude           77.109594
Order_Date                           25-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:25
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 34132, dtype: object
