ID                                    0x3dae
Delivery_person_ID             JAPRES06DEL03
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.911927
Restaurant_longitude               75.797282
Delivery_location_latitude         26.941927
Delivery_location_longitude        75.827282
Order_Date                        07-03-2022
Time_Orderd                            18:15
Time_Order_picked                      18:30
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 15940, dtype: object
