ID                                    0xcbc5
Delivery_person_ID             DEHRES09DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                30.332735
Restaurant_longitude               78.054222
Delivery_location_latitude         30.372735
Delivery_location_longitude        78.094222
Order_Date                        17-02-2022
Time_Orderd                            15:50
Time_Order_picked                      15:55
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 13986, dtype: object
