ID                                      0xdf4b
Delivery_person_ID             LUDHRES010DEL03
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           31.032860
Delivery_location_longitude          75.962199
Order_Date                          16-02-2022
Time_Orderd                              17:55
Time_Order_picked                        18:10
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 25194, dtype: object
