ID                                    0xc3a8
Delivery_person_ID             KNPRES19DEL03
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.490950
Restaurant_longitude               80.318656
Delivery_location_latitude         26.550950
Delivery_location_longitude        80.378656
Order_Date                        13-02-2022
Time_Orderd                            22:10
Time_Order_picked                      22:15
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   14.000000
Name: 1110, dtype: object
