ID                                      0x98f7
Delivery_person_ID             COIMBRES04DEL01
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.134839
Delivery_location_longitude          77.117003
Order_Date                          02-04-2022
Time_Orderd                              22:45
Time_Order_picked                        22:50
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     10.000000
Name: 5275, dtype: object
