ID                                     0x6be2
Delivery_person_ID             INDORES05DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.727021
Restaurant_longitude                75.884167
Delivery_location_latitude          22.737021
Delivery_location_longitude         75.894167
Order_Date                         05-04-2022
Time_Orderd                             10:50
Time_Order_picked                       10:60
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    10.000000
Name: 22980, dtype: object
