ID                                    0x7aa3
Delivery_person_ID             HYDRES14DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                17.426228
Restaurant_longitude               78.407495
Delivery_location_latitude         17.456228
Delivery_location_longitude        78.437495
Order_Date                        26-03-2022
Time_Orderd                            21:40
Time_Order_picked                      21:45
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   42.000000
Name: 11862, dtype: object
